table_id,Category,Universe,Table Name,Measure
B03003,Hispanic Origin,total population,HISPANIC OR LATINO ORIGIN,Individuals
B04001,Ancestry,total population,FIRST ANCESTRY REPORTED,Individuals
B04002,Ancestry,total population,SECOND ANCESTRY REPORTED,Individuals
B04003,Ancestry,total ancestry categories tallied for people with one or more ancestry categories reported,TOTAL ANCESTRY REPORTED,Total Ancestry Categories
B04004,Ancestry,people reporting single ancestry,PEOPLE REPORTING SINGLE ANCESTRY,Individuals
B04005,Ancestry,people reporting multiple ancestries,PEOPLE REPORTING MULTIPLE ANCESTRY,Individuals
B04006,Ancestry,total population,PEOPLE REPORTING ANCESTRY,Individuals
B04007,Ancestry,total population,ANCESTRY,Individuals
B05001,Foreign Birth,total population in the united states,CITIZENSHIP STATUS IN THE UNITED STATES,Individuals
B05001,Foreign Birth,total population in the united states,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Individuals
B05001PR,Foreign Birth,total population in puerto rico,CITIZENSHIP STATUS IN PUERTO RICO,Individuals
B05001PR,Foreign Birth,total population in puerto rico,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Individuals
B05002,Foreign Birth,total population,PLACE OF BIRTH BY CITIZENSHIP STATUS,Individuals
B05002,Foreign Birth,total population,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003,Foreign Birth,total population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003,Foreign Birth,total population,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003A,Foreign Birth,people who are white alone,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003A,Foreign Birth,people who are white alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003A,Foreign Birth,white alone population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003B,Foreign Birth,black or african american alone,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003B,Foreign Birth,black or african american alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003B,Foreign Birth,black or african american alone population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003C,Foreign Birth,american indian and alaska native alone population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003C,Foreign Birth,people who are american indian and alaska native alone,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003C,Foreign Birth,people who are american indian and alaska native alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003D,Foreign Birth,asian alone population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003D,Foreign Birth,people who are asian alone,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003D,Foreign Birth,people who are asian alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003E,Foreign Birth,native hawaiian and other pacific islander alone population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003E,Foreign Birth,people who are native hawaiian and other pacific islander alone,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003E,Foreign Birth,people who are native hawaiian and other pacific islander alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003F,Foreign Birth,people who are some other race alone,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003F,Foreign Birth,people who are some other race alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003F,Foreign Birth,some other race alone population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003G,Foreign Birth,people who are two or more races,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003G,Foreign Birth,people who are two or more races,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003G,Foreign Birth,two or more races population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003H,Foreign Birth,"white alone, not hispanic or latino population",SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003H,Foreign Birth,"white alone, not hispanic or latino population",SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05003I,Foreign Birth,hispanic or latino population,SEX BY AGE BY CITIZENSHIP STATUS,Individuals
B05003I,Foreign Birth,hispanic or latino population,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Individuals
B05004,Foreign Birth,total population,MEDIAN AGE BY CITIZENSHIP STATUS BY SEX,Median Age
B05004,Foreign Birth,total population,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Median Age
B05005,Foreign Birth,population born outside the united states,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Individuals
B05005,Foreign Birth,population born outside the united states,YEAR OF ENTRY BY CITIZENSHIP STATUS IN THE UNITED STATES,Individuals
B05005PR,Foreign Birth,population born outside puerto rico,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Individuals
B05005PR,Foreign Birth,population born outside puerto rico,YEAR OF ENTRY BY CITIZENSHIP STATUS IN PUERTO RICO,Individuals
B05006,Foreign Birth,foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION,Individuals
B05006,Foreign Birth,foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,Individuals
B05006PR,Foreign Birth,foreign-born population in puerto rico excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO,Individuals
B05007,Foreign Birth,foreign-born population,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,Individuals
B05008,Foreign Birth,foreign-born population,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,Individuals
B05009,Foreign Birth,own children under 18 years living in families or subfamilies,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Individuals
B05010,Foreign Birth,own children under 18 years living in families or subfamilies for whom poverty status is determined,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,Individuals
B05011,Foreign Birth,foreign-born population,PERIOD OF NATURALIZATION,Individuals
B05012,Foreign Birth,total population in the united states,NATIVITY IN THE UNITED STATES,Individuals
B05012PR,Foreign Birth,total population in puerto rico,NATIVITY IN PUERTO RICO,Individuals
B05013,Foreign Birth,foreign-born population,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Individuals
B05014,Foreign Birth,foreign-born population,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Individuals
B06001,Place of Birth - Native,total population in the united states,PLACE OF BIRTH BY AGE IN THE UNITED STATES,Individuals
B06001PR,Place of Birth - Native,total population in puerto rico,PLACE OF BIRTH BY AGE IN PUERTO RICO,Individuals
B06002,Place of Birth - Native,total population in the united states,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES,Median Age
B06002PR,Place of Birth - Native,total population in puerto rico,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO,Median Age
B06003,Place of Birth - Native,total population in the united states,PLACE OF BIRTH BY SEX IN THE UNITED STATES,Individuals
B06003PR,Place of Birth - Native,total population in puerto rico,PLACE OF BIRTH BY SEX IN PUERTO RICO,Individuals
B06004A,Place of Birth - Native,white alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004A,Place of Birth - Native,white alone population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004APR,Place of Birth - Native,white alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004APR,Place of Birth - Native,white alone population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004B,Place of Birth - Native,black or african american alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004B,Place of Birth - Native,black or african american alone population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004BPR,Place of Birth - Native,black or african american alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004BPR,Place of Birth - Native,black or african american alone population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004C,Place of Birth - Native,american indian and alaska native alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004C,Place of Birth - Native,american indian and alaska native alone population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004CPR,Place of Birth - Native,american indian and alaska native alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004CPR,Place of Birth - Native,american indian and alaska native alone population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004D,Place of Birth - Native,asian alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004D,Place of Birth - Native,asian alone population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004DPR,Place of Birth - Native,asian alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004DPR,Place of Birth - Native,asian alone population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004E,Place of Birth - Native,native hawaiian and other pacific islander alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004E,Place of Birth - Native,native hawaiian and other pacific islander alone population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004EPR,Place of Birth - Native,native hawaiian and other pacific islander alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004EPR,Place of Birth - Native,native hawaiian and other pacific islander alone population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004F,Place of Birth - Native,some other race alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004F,Place of Birth - Native,some other race alone population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004FPR,Place of Birth - Native,some other race alone population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004FPR,Place of Birth - Native,some other race population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004G,Place of Birth - Native,two or more races population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004G,Place of Birth - Native,two or more races population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004GPR,Place of Birth - Native,two or more races population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004GPR,Place of Birth - Native,two or more races population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004H,Place of Birth - Native,"white alone, not hispanic or latino population in the united states",PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004H,Place of Birth - Native,"white alone, not hispanic or latino population in the united states",PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004HPR,Place of Birth - Native,"white alone, not hispanic or latino population in puerto rico",PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004HPR,Place of Birth - Native,"white alone, not hispanic or latino population in puerto rico",PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06004I,Place of Birth - Native,hispanic or latino population in the united states,PLACE OF BIRTH  IN THE UNITED STATES,Individuals
B06004I,Place of Birth - Native,hispanic or latino population in the united states,PLACE OF BIRTH BY RACE  IN THE UNITED STATES,Individuals
B06004IPR,Place of Birth - Native,hispanic or latino population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO,Individuals
B06004IPR,Place of Birth - Native,hispanic or latino population in puerto rico,PLACE OF BIRTH BY RACE  IN PUERTO RICO,Individuals
B06007,Place of Birth - Native,population 5 years and over in the united states,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,Individuals
B06007PR,Place of Birth - Native,population 5 years and over in puerto rico,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,Individuals
B06008,Place of Birth - Native,population 15 years and over in the united states,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES,Individuals
B06008PR,Place of Birth - Native,population 15 years and over in puerto rico,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,Individuals
B06009,Place of Birth - Native,population 25 years and over in the united states,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES,Individuals
B06009PR,Place of Birth - Native,population 25 years and over in puerto rico,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO,Individuals
B06010,Place of Birth - Native,population 15 years and over in the united states,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  IN THE UNITED STATES,Individuals
B06010PR,Place of Birth - Native,population 15 years and over in puerto rico,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  IN PUERTO RICO,Individuals
B06011,Place of Birth - Native,population 15 years and over in the united states with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY PLACE OF BIRTH IN THE UNITED STATES,Median Income (Individual)
B06011PR,Place of Birth - Native,population 15 years and over in puerto rico with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY PLACE OF BIRTH IN PUERTO RICO,Median Income (Individual)
B06012,Place of Birth - Native,population in the united states for whom poverty status is determined,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES,Individuals
B06012PR,Place of Birth - Native,population in puerto rico for whom poverty status is determined,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,Individuals
B07001,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07001PR,Residence Last Year - Migration,population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07002,Residence Last Year - Migration,population 1 year and over in the united states,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Median Age
B07002PR,Residence Last Year - Migration,population 1 year and over in puerto rico,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Median Age
B07003,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07003PR,Residence Last Year - Migration,population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004A,Residence Last Year - Migration,white alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004A,Residence Last Year - Migration,white alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004APR,Residence Last Year - Migration,white alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004APR,Residence Last Year - Migration,white alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004B,Residence Last Year - Migration,black or african american alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004B,Residence Last Year - Migration,black or african american alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004BPR,Residence Last Year - Migration,black or african american alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004BPR,Residence Last Year - Migration,black or african american alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004C,Residence Last Year - Migration,american indian and alaska native alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004C,Residence Last Year - Migration,american indian and alaskan native alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004CPR,Residence Last Year - Migration,american indian and alaska native alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004CPR,Residence Last Year - Migration,american indian and alaskan native alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004D,Residence Last Year - Migration,asian alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004D,Residence Last Year - Migration,asian alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004DPR,Residence Last Year - Migration,asian alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004DPR,Residence Last Year - Migration,asian alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004E,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004E,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004EPR,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004EPR,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004F,Residence Last Year - Migration,some other race alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004F,Residence Last Year - Migration,some other race alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004FPR,Residence Last Year - Migration,some other race alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004FPR,Residence Last Year - Migration,some other race alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004G,Residence Last Year - Migration,two or more races population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004G,Residence Last Year - Migration,two or more races population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004GPR,Residence Last Year - Migration,two or more races population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004GPR,Residence Last Year - Migration,two or more races population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004H,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in the united states",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004H,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in the united states",GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004HPR,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in puerto rico",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004HPR,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in puerto rico",GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004I,Residence Last Year - Migration,hispanic or latino population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004I,Residence Last Year - Migration,hispanic or latino population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07004IPR,Residence Last Year - Migration,hispanic or latino population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07004IPR,Residence Last Year - Migration,hispanic or latino population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
