Universe,Measure,,,,,,,,,,
Black Or African American Alone Population 5 Years And Over,Individuals,Race,Black Or African American Alone,Age,5 Years and over,,,,,,
Black Or African American Alone Population For Whom Poverty Status Is Determined,Individuals,Race,Black Or African American Alone,,,,,,,,
Black Or African American Alone Population In Puerto Rico,Individuals,Race,Black Or African American Alone,Location,Puerto Rico,,,,,,
Black Or African American Alone Population In The United States,Individuals,Race,Black Or African American Alone,Location,United States,,,,,,
Black Or African American Alone Women 15 To 50 Years,Individuals,Race,Black Or African American Alone,Sex,Female,Age,15 to 50 Years,,,,
Black Or African American Alone Workers 16 Years And Over,Individuals,Race,Black Or African American Alone,Age,16 Years and over,Labor Force Participation,In labor force,,,,
Civilian Employed American Indian And Alaska Native Alone Population 16 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed Asian Alone Population 16 Years And Over,Individuals,Race,Asian Alone,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed Black Or African American Alone Population 16 Years And Over,Individuals,Race,Black Or African American Alone,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed Hispanic Or Latino Population 16 Years And Over,Individuals,Hispanic Origin,Hispanic or Latino,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed Native Hawaiian And Other Pacific Islander Alone Population 16 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed Population 16 Years And Over,Individuals,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,,,
Civilian Employed Population 16 Years And Over With Earnings,Individuals,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,Income,With Earnings,,
Civilian Employed Some Other Race Alone Population 16 Years And Over,Individuals,Race,Some Other Race Alone,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed Two Or More Races Population 16 Years And Over,Individuals,Race,Two Or More Races,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
Civilian Employed White Alone Population 16 Years And Over,Individuals,Race,White Alone,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces,,
"Civilian Employed White Alone, Not Hispanic Or Latino Population 16 Years And Over",Individuals,Race,White Alone,Hispanic Origin,Not Hispanic or Latino,Age,16 Years and over,Employment Status,Employed,Employment Status,Not In Armed Forces
Civilian Grandparents Living With Own Grandchildren Under 18 Years,Individuals,Employment Status,Not In Armed Forces,Family Type,Grandparents Living With Own Grandchildren Under 18,,,,,,
Civilian Noninstitutionalized Population,Individuals,Employment Status,Not In Armed Forces,Age,16 Years and over,Institutionalization,Noninstutionalized,,,,
Civilian Noninstitutionalized Population 16 Years And Over With Earnings In The Past 12 Months,Individuals,Employment Status,Not In Armed Forces,Age,16 Years and over,Institutionalization,Noninstutionalized,Income,With Earnings,,
Civilian Noninstitutionalized Population 18 To 64 Years,Individuals,Employment Status,Not In Armed Forces,Age,18 to 64 Years,Institutionalization,Noninstutionalized,,,,
Civilian Noninstitutionalized Population 18 Years And Over,Individuals,Employment Status,Not In Armed Forces,Age,18 Years and over,Institutionalization,Noninstutionalized,,,,
Civilian Noninstitutionalized Population 19 To 25 Years,Individuals,Employment Status,Not In Armed Forces,Age,18 Years and over,Institutionalization,Noninstutionalized,,,,
Civilian Noninstitutionalized Population 25 Years And Over,Individuals,Employment Status,Not In Armed Forces,Age,25 Years and over,Institutionalization,Noninstutionalized,,,,
Civilian Noninstitutionalized Population 5 Years And Over,Individuals,Employment Status,Not In Armed Forces,Age,5 Years and over,Institutionalization,Noninstutionalized,,,,
Civilian Noninstitutionalized Population For Whom Poverty Status Is Determined,Individuals,Employment Status,Not In Armed Forces,Age,16 Years and over,,,,,,
Civilian Population 16 Years And Over For Whom Poverty Status Is Determined,Individuals,Employment Status,Not In Armed Forces,Age,16 Years and over,,,,,,
Civilian Population 18 To 64 Years,Individuals,Employment Status,Not In Armed Forces,Age,18 to 64 Years,,,,,,
Civilian Population 18 Years And Over,Individuals,Employment Status,Not In Armed Forces,Age,18 Years and over,,,,,,
Civilian Population 18 Years And Over For Whom Poverty Status Is Determined,Individuals,Employment Status,Not In Armed Forces,Age,18 Years and over,,,,,,
Civilian Population 18 Years And Over With Income In The Past 12 Months,Individuals,Employment Status,Not In Armed Forces,Age,18 Years and over,Income,With Earnings,,,,
Civilian Population 25 Years And Over,Individuals,Employment Status,Not In Armed Forces,Age,25 Years and over,,,,,,
Civilian Population Living In Households,Individuals,Employment Status,Not In Armed Forces,Household type,In households,,,,,,
Civilian Veterans 18 Years And Over,Individuals,Employment Status,Not In Armed Forces,Age,18 Years and over,Veteran Status,Veteran,,,,
Families,Families,,,,,,,,,,
Families With A Householder Who Is American Indian And Alaska Native Alone,Families,Race of Householder,American Indian And Alaska Native Alone,,,,,,,,
Families With A Householder Who Is Asian Alone,Families,Race of Householder,Asian Alone,,,,,,,,
Families With A Householder Who Is Black Or African American Alone,Families,Race of Householder,Black Or African American Alone,,,,,,,,
Families With A Householder Who Is Hispanic Or Latino,Families,Hispanic Origin of Householder,Hispanic or Latino,,,,,,,,
Families With A Householder Who Is Native Hawaiian And Other Pacific Islander Alone,Families,Race of Householder,Native Hawaiian And Other Pacific Islander Alone,,,,,,,,
Families With A Householder Who Is Some Other Race Alone,Families,Race of Householder,Some Other Race Alone,,,,,,,,
Families With A Householder Who Is Two Or More Races,Families,Race of Householder,Two Or More Races,,,,,,,,
Families With A Householder Who Is White Alone,Families,Race of Householder,White Alone,,,,,,,,
"Families With A Householder Who Is White Alone, Not Hispanic Or Latino",Families,Race of Householder,White Alone,Hispanic Origin of Householder,Not Hispanic or Latino,,,,,,
Families With Income In The Past 12 Months Below The Poverty Level,Families,Poverty Status,Income in the past 12-months below poverty level,,,,,,,,
Females 20 To 64 Years In Households,Individuals,Sex,Female,Household type,In households,Age,20 to 64 Years,,,,
Foreign-Born Population,Individuals,Nativity,Foreign born,,,,,,,,
Foreign-Born Population Excluding Population Born At Sea,Individuals,Nativity,Foreign born excluding born at sea,,,,,,,,
Foreign-Born Population In Puerto Rico Excluding Population Born At Sea,Individuals,Nativity,Foreign born excluding born at sea,Location,Puerto Rico,,,,,,
"Full-Time, Year-Round Civilian Employed Female Population 16 Years And Over",Individuals,Sex,Female,Age,16 Years and over,Employment Status,Not In Armed Forces,Work Experience,"Worked full time, year-round",,
"Full-Time, Year-Round Civilian Employed Female Population 16 Years And Over With Earnings",Individuals,Sex,Female,Age,16 Years and over,Employment Status,Not In Armed Forces,Work Experience,"Worked full time, year-round",Income,With Earnings
"Full-Time, Year-Round Civilian Employed Male Population 16 Years And Over",Individuals,Sex,Male,Age,16 Years and over,Employment Status,Not In Armed Forces,Work Experience,"Worked full time, year-round",,
"Full-Time, Year-Round Civilian Employed Male Population 16 Years And Over With Earnings",Individuals,Sex,Male,Age,16 Years and over,Employment Status,Not In Armed Forces,Work Experience,"Worked full time, year-round",Income,With Earnings
"Full-Time, Year-Round Civilian Employed Population 16 Years And Over",Individuals,Age,16 Years and over,Employment Status,Not In Armed Forces,Work Experience,"Worked full time, year-round",,,,
"Full-Time, Year-Round Civilian Employed Population 16 Years And Over With Earnings",Individuals,Age,16 Years and over,Employment Status,Not In Armed Forces,Work Experience,"Worked full time, year-round",Income,With Earnings,,
Grandchildren Under 18 Living With Grandparent Householder,Individuals,,,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (American Indian And Alaska Native Alone) Living With Own Grandchildren Under 18 Years,Individuals,Race,American Indian And Alaska Native Alone,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (Asian Alone) Living With Own Grandchildren Under 18 Years,Individuals,Race,Asian Alone,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (Black Or African American Alone) Living With Own Grandchildren Under 18 Years,Individuals,Race,Black Or African American Alone,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (Hispanic Or Latino) Living With Own Grandchildren Under 18 Years,Individuals,Hispanic Origin,Hispanic or Latino,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (Native Hawaiian And Other Pacific Islander Alone) Living With Own Grandchildren Under 18 Years,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (Some Other Race Alone) Living With Own Grandchildren Under 18 Years,Individuals,Race,Some Other Race Alone,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (Two Or More Races) Living With Own Grandchildren Under 18 Years,Individuals,Race,Two Or More Races,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
Grandparents (White Alone) Living With Own Grandchildren Under 18 Years,Individuals,Race,White Alone,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,
"Grandparents (White Alone, Not Hispanic Or Latino) Living With Own Grandchildren Under 18 Years",Individuals,Race,White Alone,Hispanic Origin,Not Hispanic or Latino,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,
Grandparents Living With Own Grandchildren Under 18 Years,Individuals,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,,,
Grandparents Living With Own Grandchildren Under 18 Years For Whom Poverty Status Is Determined,Individuals,Multi-generational Household Type,Living with own grandchildren under 18 years,,,,,,,,
Hispanic Or Latino Civilian Noninstitutionalized Population,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,16 years and over,Employment Status,Not In Armed Forces,Institutionalization,Noninstutionalized,,
Hispanic Or Latino Population,Individuals,Hispanic Origin of Householder,Hispanic or Latino,,,,,,,,
Hispanic Or Latino Population 1 Year And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,1 year and over,,,,,,
Hispanic Or Latino Population 1 Year And Over In Puerto Rico,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,1 year and over,Location,Puerto Rico,,,,
Hispanic Or Latino Population 1 Year And Over In The United States,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,1 year and over,Location,United States,,,,
Hispanic Or Latino Population 15 To 54 Years,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,15 to 54 years,,,,,,
Hispanic Or Latino Population 15 Years And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,15 Years and over,,,,,,
Hispanic Or Latino Population 16 Years And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,16 Years and over,,,,,,
Hispanic Or Latino Population 16 Years And Over With Earnings In The Past 12 Months,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,16 Years and over,Income,With Earnings,,,,
Hispanic Or Latino Population 25 Years And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,25 Years and over,,,,,,
Hispanic Or Latino Population 3 Years And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,3 Years and over,,,,,,
Hispanic Or Latino Population 5 Years And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,5 Years and over,,,,,,
Hispanic Or Latino Population For Whom Poverty Status Is Determined,Individuals,Hispanic Origin of Householder,Hispanic or Latino,,,,,,,,
Hispanic Or Latino Population In Puerto Rico,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Location,Puerto Rico,,,,,,
Hispanic Or Latino Population In The United States,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Location,United States,,,,,,
Hispanic Or Latino Women 15 To 50 Years,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Sex,Female,Age,15 to 50 Years,,,,
Hispanic Or Latino Workers 16 Years And Over,Individuals,Hispanic Origin of Householder,Hispanic or Latino,Age,16 Years and over,Labor Force Participation,In labor force,,,,
Households,Households,,,,,,,,,,
Households With A Householder Who Is American Indian And Alaska Native Alone,Households,Race of Householder,American Indian And Alaska Native Alone,,,,,,,,
Households With A Householder Who Is Asian Alone,Households,Race of Householder,Asian,,,,,,,,
Households With A Householder Who Is Black Or African American Alone,Households,Race of Householder,Black Or African American Alone,,,,,,,,
Households With A Householder Who Is Hispanic Or Latino,Households,Hispanic Origin of Householder,Hispanic or Latino,,,,,,,,
Households With A Householder Who Is Native Hawaiian And Other Pacific Islander Alone,Households,Race of Householder,Native Hawaiian And Other Pacific Islander Alone,,,,,,,,
Households With A Householder Who Is Some Other Race Alone,Households,Race of Householder,Some Other Race Alone,,,,,,,,
Households With A Householder Who Is Two Or More Races,Households,Race of Householder,Two Or More Races,,,,,,,,
Households With A Householder Who Is White Alone,Households,Race of Householder,White Alone,,,,,,,,
"Households With A Householder Who Is White Alone, Not Hispanic Or Latino",Households,Race of Householder,White Alone,Hispanic Origin of Householder,Not Hispanic or Latino,,,,,,
Housing Units,Housing Units,,,,,,,,,,
Married-Couple Families,Families,Family Type,Married-couple family,,,,,,,,
Native Hawaiian And Other Pacific Islander Alone Civilian Noninstitutionalized Population,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,16 years and over,Employment Status,Not In Armed Forces,Institutionalization,Noninstutionalized,,
Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races,,,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 1 Year And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,1 year and over,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 1 Year And Over In Puerto Rico,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,1 year and over,Location,Puerto Rico,,,,
Native Hawaiian And Other Pacific Islander Alone Population 1 Year And Over In The United States,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,1 year and over,Location,United States,,,,
Native Hawaiian And Other Pacific Islander Alone Population 15 To 54 Years,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,15 to 54 years,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 15 Years And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,15 Years and over,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 16 Years And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,16 years and over,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 16 Years And Over With Earnings In The Past 12 Months,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,16 years and over,Income,With Earnings,,,,
Native Hawaiian And Other Pacific Islander Alone Population 25 Years And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,25 Years and over,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 3 Years And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,3 Years and over,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population 5 Years And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,5 Years and over,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population For Whom Poverty Status Is Determined,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,,,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population In Puerto Rico,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Location,Puerto Rico,,,,,,
Native Hawaiian And Other Pacific Islander Alone Population In The United States,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Location,United States,,,,,,
Native Hawaiian And Other Pacific Islander Alone Women 15 To 50 Years,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Sex,Female,Age,15 to 50 Years,,,,
Native Hawaiian And Other Pacific Islander Alone Workers 16 Years And Over,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,Age,16 Years and over,Labor Force Participation,In labor force,,,,
Nonfamily Households,Households,Family Type,Nonfamily households,,,,,,,,
Nonfamily Households With A Householder Who Is Asian Alone,Households,Family Type,Nonfamily households,Race of Householder,Asian,,,,,,
Nonfamily Households With A Householder Who Is Black Or African American Alone,Households,Family Type,Nonfamily households,Race of Householder,Black Or African American Alone,,,,,,
Nonfamily Households With A Householder Who Is Hispanic Or Latino,Households,Family Type,Nonfamily households,Hispanic Origin of Householder,Hispanic or Latino,,,,,,
Nonfamily Households With A Householder Who Is Native Hawaiian And Other Pacific Islander Alone,Households,Family Type,Nonfamily households,Race of Householder,Native Hawaiian And Other Pacific Islander Alone,,,,,,
Nonfamily Households With A Householder Who Is Some Other Race Alone,Households,Family Type,Nonfamily households,Race of Householder,Some Other Race Alone,,,,,,
Nonfamily Households With A Householder Who Is Two Or More Races,Households,Family Type,Nonfamily households,Race of Householder,Two Or More Races,,,,,,
Nonfamily Households With A Householder Who Is White Alone,Households,Family Type,Nonfamily households,Race of Householder,White Alone,,,,,,
"Nonfamily Households With A Householder Who Is White Alone, Not Hispanic Or Latino",Households,Family Type,Nonfamily households,Race of Householder,White Alone,Hispanic Origin of Householder,Not Hispanic or Latino,,,,
Nonfamily Households With Householder Who Is American Indian And Alaska Native Alone,Households,Family Type,Nonfamily households,Race of Householder,American Indian And Alaska Native Alone,,,,,,
Occupied Housing Units,Housing Units,Occupancy Status,Occupied,,,,,,,,
Occupied Housing Units With A Householder Who Is American Indian And Alaska Native Alone,Housing Units,Occupancy Status,Occupied,Race of Householder,American Indian And Alaska Native Alone,,,,,,
Occupied Housing Units With A Householder Who Is Asian Alone,Housing Units,Occupancy Status,Occupied,Race of Householder,Asian,,,,,,
Occupied Housing Units With A Householder Who Is Black Or African American Alone,Housing Units,Occupancy Status,Occupied,Race of Householder,Black Or African American Alone,,,,,,
Occupied Housing Units With A Householder Who Is Hispanic Or Latino,Housing Units,Occupancy Status,Occupied,Hispanic Origin of Householder,Hispanic or Latino,,,,,,
Occupied Housing Units With A Householder Who Is Native Hawaiian And Other Pacific Islander Alone,Housing Units,Occupancy Status,Occupied,Race of Householder,Native Hawaiian And Other Pacific Islander Alone,,,,,,
Occupied Housing Units With A Householder Who Is Some Other Race Alone,Housing Units,Occupancy Status,Occupied,Race of Householder,Some Other Race Alone,,,,,,
Occupied Housing Units With A Householder Who Is Two Or More Races,Housing Units,Occupancy Status,Occupied,Race of Householder,Two Or More Races,,,,,,
Occupied Housing Units With A Householder Who Is White Alone,Housing Units,Occupancy Status,Occupied,Race of Householder,White Alone,,,,,,
"Occupied Housing Units With A Householder Who Is White Alone, Not Hispanic Or Latino",Housing Units,Occupancy Status,Occupied,Race of Householder,White Alone,Hispanic Origin of Householder,Not Hispanic or Latino,,,,
Occupied Housing Units With Monthly Housing Costs,Housing Units,Occupancy Status,Occupied,,,,,,,,
Opposite-Sex Married-Couple Families And Families Maintained By Women And Men With No Spouse Present,Families,Family Type,"Married couple family or Female householder, no husband present or Male householder, no wife present",,,,,,,,
Own Children Under 18 Years,Individuals,Presence of Children,With own children under 18 years,,,,,,,,
Own Children Under 18 Years In Families And Subfamilies,Individuals,Presence of Children,With own children under 18 years,,,,,,,,
Owner-Occupied Housing Units,Housing Units,Rent or Own,Owner-occupied housing units,,,,,,,,
Owner-Occupied Mobile Homes,Housing Units,Rent or Own,Owner-occupied housing units,Structure Type,Mobile home,,,,,,
People Reporting Multiple Ancestries,Individuals,Ancestry,Multiple Ancestries,,,,,,,,
People Reporting Single Ancestry,Individuals,Ancestry,Single Ancestry,,,,,,,,
People Who Are American Indian And Alaska Native Alone,Individuals,Race,American Indian And Alaska Native Alone,,,,,,,,
People Who Are American Indian And Alaska Native Alone And People With No Tribe Reported,Individuals,Race,American Indian And Alaska Native Alone,Tribal Grouping,"American Indian or Alaska Native tribes, not specified",,,,,,
People Who Are American Indian Or Alaska Native Alone Or In Combination With One Or More Other Races,Individuals,Race,American Indian And Alaska Native Alone And People With No Tribe Reported,,,,,,,,
People Who Are Asian Alone,Individuals,Race,Asian Alone,,,,,,,,
People Who Are Black Or African American Alone,Individuals,Race,Black Or African American Alone,,,,,,,,
People Who Are Hispanic Or Latino,Individuals,Hispanic Origin,Hispanic or Latino,,,,,,,,
People Who Are Native Hawaiian And Other Pacific Islander Alone,Individuals,Race,Native Hawaiian And Other Pacific Islander Alone,,,,,,,,
People Who Are Some Other Race Alone,Individuals,Race,Some Other Race Alone,,,,,,,,
People Who Are Two Or More Races,Individuals,Race,Two Or More Races,,,,,,,,
People Who Are White Alone,Individuals,Race,White Alone,,,,,,,,
Population 1 Year And Over,Individuals,Age,1 Year and over,,,,,,,,
Population 1 Year And Over For Whom Poverty Status Is Determined,Individuals,Age,1 Year and over,,,,,,,,
Population 1 Year And Over In Households,Individuals,Age,1 Year and over,Household type,In households,,,,,,
Population 1 Year And Over In Households In Puerto Rico,Individuals,Age,1 Year and over,Household type,In households,Location,Puerto Rico,,,,
Population 1 Year And Over In Households In The United States,Individuals,Age,1 Year and over,Household type,In households,Location,United States,,,,
Population 1 Year And Over In Puerto Rico,Individuals,Age,1 Year and over,Location,Puerto Rico,,,,,,
Population 1 Year And Over In Puerto Rico For Whom Poverty Status Is Determined,Individuals,Age,1 Year and over,Location,Puerto Rico,,,,,,
Population 1 Year And Over In The United States,Individuals,Age,1 Year and over,Location,United States,,,,,,
Population 1 Year And Over In The United States For Whom Poverty Status Is Determined,Individuals,Age,1 Year and over,Location,United States,,,,,,
Population 1 Year And Over Living In A Metropolitan Statistical Area In Puerto Rico,Individuals,Age,1 Year and over,Location,Puerto Rico,Place of Residence,In a Metropolitan Statistical Area,,,,
Population 1 Year And Over Living In A Metropolitan Statistical Area In The United States,Individuals,Age,1 Year and over,Location,United States,Place of Residence,In a Metropolitan Statistical Area,,,,
Population 1 Year And Over Living In A Micropolitan Statistical Area In Puerto Rico,Individuals,Age,1 Year and over,Location,Puerto Rico,Place of Residence,In a Micropolitan Statistical Area,,,,
Population 1 Year And Over Living In A Micropolitan Statistical Area In The United States,Individuals,Age,1 Year and over,Location,United States,Place of Residence,In a Micropolitan Statistical Area,,,,
Population 1 Year And Over Not Living In A Metropolitan Or Micropolitan Statistical Area In Puerto Rico,Individuals,Age,1 Year and over,Location,Puerto Rico,Place of Residence,Not in a Metropolitan or Micropolitan Statistical Area,,,,
