B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B01001H,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001I,SEX BY AGE ,,,,,,,,
B01001I,dimensions,,Sex,Age,,,,,
B01001I,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01002,MEDIAN AGE BY SEX,,,,,,,,
B01002,dimensions,,Sex,,,,,,
B01002,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002A,MEDIAN AGE BY SEX ,,,,,,,,
B01002A,dimensions,,Sex,,,,,,
B01002A,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002B,MEDIAN AGE BY SEX ,,,,,,,,
B01002B,dimensions,,Sex,,,,,,
B01002B,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002C,MEDIAN AGE BY SEX ,,,,,,,,
B01002C,dimensions,,Sex,,,,,,
B01002C,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002D,MEDIAN AGE BY SEX ,,,,,,,,
B01002D,dimensions,,Sex,,,,,,
B01002D,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002E,MEDIAN AGE BY SEX ,,,,,,,,
B01002E,dimensions,,Sex,,,,,,
B01002E,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002F,MEDIAN AGE BY SEX ,,,,,,,,
B01002F,dimensions,,Sex,,,,,,
B01002F,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002G,MEDIAN AGE BY SEX ,,,,,,,,
B01002G,dimensions,,Sex,,,,,,
B01002G,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002H,MEDIAN AGE BY SEX ,,,,,,,,
B01002H,dimensions,,Sex,,,,,,
B01002H,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01002I,MEDIAN AGE BY SEX ,,,,,,,,
B01002I,dimensions,,Sex,,,,,,
B01002I,values,['Median age --'],"['Male', 'Female', 'Total:']",,,,,,
B01003,TOTAL POPULATION,,,,,,,,
B01003,dimensions,,,,,,,,
B01003,values,['Total'],,,,,,,
B02001,RACE,,,,,,,,
B02001,dimensions,,Race,Race,,,,,
B02001,values,['Total:'],"['Some other race alone', 'Asian alone', 'Native Hawaiian and Other Pacific Islander alone', 'White alone', 'Two or more races:', 'Black or African American alone', 'American Indian and Alaska Native alone']","['Two races including Some other race', 'Two races excluding Some other race, and three or more races']",,,,,
B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,,,,,,
B02008,dimensions,,,,,,,,
B02008,values,['Total:'],,,,,,,
B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,,,,,,
B02009,dimensions,,,,,,,,
B02009,values,['Total:'],,,,,,,
B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,,,,,,
B02010,dimensions,,,,,,,,
B02010,values,['Total:'],,,,,,,
B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,,,,,,
B02011,dimensions,,,,,,,,
B02011,values,['Total:'],,,,,,,
B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,,,,,,
B02012,dimensions,,,,,,,,
B02012,values,['Total:'],,,,,,,
B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,,,,,,
B02013,dimensions,,,,,,,,
B02013,values,['Total:'],,,,,,,
B02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,,,,,,,,
B02014,dimensions,,Tribal Grouping,Tribal Grouping,,,,,
B02014,values,['Total:'],"['Two or More American Indian or Alaska Native Tribes', 'American Indian tribes, specified:', 'American Indian tribes, not specified', 'Alaska Native tribes, specified:', 'Alaska Native tribes, not specified', 'American Indian or Alaska Native tribes, not specified']","['', 'Yakama', 'Spanish American Indian', 'Alaskan Athabascan', 'Yuman', 'Cherokee', 'Inupiat', 'Tlingit-Haida', ""Tohono O'Odham"", 'Hopi', 'Cheyenne', 'Seminole', 'Arapaho', 'Cree', 'All other American Indian tribes (with only one tribe reported)', 'Yaqui', 'Colville', ""Yup'ik"", 'Paiute', 'Houma', 'Blackfeet       ', 'Apache', 'South American Indian', 'Navajo', 'Lumbee      ', 'Pueblo', 'Sioux', 'Ute', 'Ottawa', 'Chickasaw', 'Kiowa', 'Central American Indian', 'Puget Sound Salish', 'Aleut', 'Pima', 'Iroquois', 'Comanche', 'Tsimshian', 'Osage', 'Creek', 'Canadian and French American Indian', 'Crow', 'Chippewa', 'Mexican American Indian', 'Delaware     ', 'Choctaw', 'Potawatomi', 'Menominee', 'Shoshone']",,,,,
B02015,ASIAN ALONE BY SELECTED GROUPS,,,,,,,,
B02015,dimensions,,Ethnic/Racial Heritage,,,,,,
B02015,values,['Total:'],"['Chinese, except Taiwanese ', 'Sri Lankan ', 'Okinawan', 'Thai ', 'Bangladeshi ', 'Asian Indian ', 'Malaysian ', 'Pakistani ', 'Hmong ', 'Other Asian, specified', 'Bhutanese', 'Filipino ', 'Taiwanese ', 'Japanese ', 'Vietnamese ', 'Indonesian', 'Burmese', 'Cambodian ', 'Other Asian, not specified', 'Two or more Asian', 'Korean ', 'Laotian ', 'Mongolian', 'Nepalese']",,,,,,
B02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,,,,,,,,
B02016,dimensions,,Ethnic/Racial Heritage,Ethnic/Racial Heritage,,,,,
B02016,values,['Total:'],"['Micronesian:', 'Melanesian:', 'Polynesian:', 'Other Pacific Islander, not specified (check box only)', 'Two or More NHPI']","['Samoan ', '', 'Fijian', 'Guamanian or Chamorro', 'Marshallese ', 'Other Micronesian', 'Native Hawaiian ', 'Tongan ', 'Other Melanesian', 'Other Polynesian']",,,,,
B02017,AMERICAN INDIAN AND ALASKA NATIVE  ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,,,,,,,,
B02017,dimensions,,Tribal Grouping,Tribal Grouping,,,,,
B02017,values,['Total Groups Tallied:'],"['American Indian tribes, specified:', 'American Indian tribes, not specified', 'Alaska Native tribes, not specified', 'American Indian or Alaska Native tribes, not specified', 'Alaska Native tribes, specified:']","['', 'Yakama', 'Spanish American Indian', 'Alaskan Athabascan', 'Yuman', 'Cherokee', 'Inupiat', 'Tlingit-Haida', ""Tohono O'Odham"", 'Hopi', 'Cheyenne', 'Seminole', 'Arapaho', 'Cree', 'All other American Indian tribes (with only one tribe reported)', 'Yaqui', 'Colville', ""Yup'ik"", 'Paiute', 'Houma', 'Blackfeet       ', 'Apache', 'South American Indian', 'Navajo', 'Lumbee      ', 'Pueblo', 'Sioux', 'Ute', 'Ottawa', 'Chickasaw', 'Kiowa', 'Central American Indian', 'Puget Sound Salish', 'Aleut', 'Pima', 'Iroquois', 'Comanche', 'Tsimshian', 'Osage', 'Creek', 'Canadian and French American Indian', 'Crow', 'Chippewa', 'Mexican American Indian', 'Delaware     ', 'Choctaw', 'Potawatomi', 'Menominee', 'Shoshone']",,,,,
B02018,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,,,,,,,,
B02018,dimensions,,Ethnic/Racial Heritage,,,,,,
B02018,values,['Total Groups Tallied: '],"['Chinese, except Taiwanese ', 'Sri Lankan ', 'Okinawan', 'Thai ', 'Bangladeshi ', 'Asian Indian ', 'Malaysian ', 'Pakistani ', 'Hmong ', 'Other Asian, specified', 'Bhutanese', 'Filipino ', 'Taiwanese ', 'Japanese ', 'Vietnamese ', 'Indonesian', 'Burmese', 'Cambodian ', 'Other Asian, not specified', 'Korean ', 'Laotian ', 'Mongolian', 'Nepalese']",,,,,,
B02019,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,,,,,,,,
B02019,dimensions,,Ethnic/Racial Heritage,Ethnic/Racial Heritage,,,,,
B02019,values,['Total Groups Tallied:'],"['Micronesian:', 'Melanesian:', 'Polynesian:', 'Other Pacific Islander, not specified ']","['Samoan ', '', 'Fijian', 'Guamanian or Chamorro', 'Marshallese ', 'Other Micronesian', 'Native Hawaiian ', 'Tongan ', 'Other Melanesian', 'Other Polynesian']",,,,,
C02003,DETAILED RACE,,,,,,,,
C02003,dimensions,,Race,Race,Race,,,,
C02003,values,['Total:'],"['Population of two or more races:', 'Population of one race:']","['', 'Population of two races:', 'Native Hawaiian and Other Pacific Islander', 'Population of four or more races', 'Asian alone', 'Black or African American', 'Population of three races', 'White', 'American Indian and Alaska Native', 'Some other race']","['', 'White; Black or African American', 'White; Asian', 'Black or African American; American Indian and Alaska Native', 'White; American Indian and Alaska Native', 'Two races including Some other race', 'All other two race combinations', 'Two races excluding Some other race, and three or more races']",,,,
B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,,,,,,,,
B03001,dimensions,,Hispanic Origin,Hispanic Origin,Hispanic Origin,,,,
B03001,values,['Total:'],"['Not Hispanic or Latino', 'Hispanic or Latino:']","['Cuban', 'Mexican', 'Other Hispanic or Latino:', 'South American:', 'Dominican (Dominican Republic)', 'Puerto Rican', 'Central American:']","['', 'Salvadoran', 'Guatemalan', 'Venezuelan', 'Colombian', 'Other South American', 'Peruvian', 'All other Hispanic or Latino', 'Costa Rican', 'Bolivian', 'Paraguayan', 'Spanish American', 'Chilean', 'Other Central American', 'Argentinean', 'Spaniard', 'Uruguayan', 'Panamanian', 'Ecuadorian', 'Spanish', 'Honduran', 'Nicaraguan']",,,,
B03002,HISPANIC OR LATINO ORIGIN BY RACE,,,,,,,,
B03002,dimensions,,Hispanic Origin,Race,Race,,,,
B03002,values,['Total:'],"['Not Hispanic or Latino:', 'Hispanic or Latino:']","['', 'Some other race alone', 'Asian alone', 'Native Hawaiian and Other Pacific Islander alone', 'White alone', 'Two or more races:', 'Black or African American alone', 'American Indian and Alaska Native alone']","['', 'Two races including Some other race', 'Two races excluding Some other race, and three or more races']",,,,
B03003,HISPANIC OR LATINO ORIGIN,,,,,,,,
B03003,dimensions,,Hispanic Origin,,,,,,
B03003,values,['Total:'],"['Not Hispanic or Latino', 'Hispanic or Latino']",,,,,,
B04004,PEOPLE REPORTING SINGLE ANCESTRY,,,,,,,,
B04004,dimensions,,Ancestry,Ancestry,,,,,
B04004,values,['Total:'],"['Norwegian ', 'Celtic ', 'Canadian ', 'Lithuanian ', 'Polish ', 'Alsatian ', 'Cypriot ', 'Dutch ', 'Serbian ', 'Danish ', 'Cajun ', 'Scottish ', 'French Canadian ', 'Icelander ', 'Macedonian ', 'Australian ', 'Luxemburger ', 'Italian ', 'Czech ', 'Arab:', 'Scandinavian ', 'West Indian (except Hispanic groups):', 'American ', 'Turkish ', 'Portuguese ', 'Finnish ', 'European ', 'British ', 'Basque ', 'Czechoslovakian ', 'French (except Basque) ', 'Austrian ', 'Romanian ', 'Ukrainian ', 'Slavic ', 'Swedish ', 'Scotch-Irish ', 'Carpatho Rusyn ', 'Estonian ', 'Afghan ', 'Irish ', 'Maltese ', 'Yugoslavian ', 'Israeli ', 'English ', 'Greek ', 'Latvian ', 'Northern European ', 'Armenian ', 'Belgian ', 'Welsh ', 'Subsaharan African:', 'Slovene ', 'Assyrian/Chaldean/Syriac ', 'Hungarian ', 'Iranian ', 'Guyanese ', 'Bulgarian ', 'Croatian ', 'German ', 'Albanian ', 'Brazilian ', 'Slovak ', 'Other groups ', 'Eastern European ', 'German Russian ', 'Soviet Union ', 'Swiss ', 'Pennsylvania German ', 'New Zealander ', 'Russian ']","['', 'Nigerian ', 'Dutch West Indian ', 'Palestinian ', 'Ugandan ', 'British West Indian ', 'Iraqi ', 'Cape Verdean ', 'Liberian ', 'Other Subsaharan African ', 'Moroccan ', 'South African ', 'Haitian ', 'Sudanese ', 'Belizean ', 'Zimbabwean ', 'Lebanese ', 'Arab ', 'Jamaican ', 'Jordanian ', 'Ethiopian ', 'Sierra Leonean ', 'Syrian ', 'U.S. Virgin Islander ', 'Ghanaian ', 'Barbadian ', 'Other Arab ', 'Somali ', 'African ', 'Bermudan ', 'West Indian ', 'Egyptian ', 'Trinidadian and Tobagonian ', 'Kenyan ', 'Bahamian ', 'Other West Indian ', 'Senegalese ']",,,,,
B04005,PEOPLE REPORTING MULTIPLE ANCESTRY,,,,,,,,
B04005,dimensions,,Ancestry,Ancestry,,,,,
B04005,values,['Total:'],"['Norwegian ', 'Celtic ', 'Canadian ', 'Lithuanian ', 'Polish ', 'Alsatian ', 'Cypriot ', 'Dutch ', 'Serbian ', 'Danish ', 'Cajun ', 'Scottish ', 'French Canadian ', 'Icelander ', 'Macedonian ', 'Australian ', 'Luxemburger ', 'Italian ', 'Czech ', 'Arab:', 'Scandinavian ', 'West Indian (except Hispanic groups):', 'American ', 'Turkish ', 'Portuguese ', 'Finnish ', 'European ', 'British ', 'Basque ', 'Czechoslovakian ', 'French (except Basque) ', 'Austrian ', 'Romanian ', 'Ukrainian ', 'Slavic ', 'Swedish ', 'Scotch-Irish ', 'Carpatho Rusyn ', 'Estonian ', 'Afghan ', 'Irish ', 'Maltese ', 'Yugoslavian ', 'Israeli ', 'English ', 'Greek ', 'Latvian ', 'Northern European ', 'Armenian ', 'Belgian ', 'Welsh ', 'Subsaharan African:', 'Slovene ', 'Assyrian/Chaldean/Syriac ', 'Hungarian ', 'Iranian ', 'Guyanese ', 'Bulgarian ', 'Croatian ', 'German ', 'Albanian ', 'Brazilian ', 'Slovak ', 'Other groups ', 'Eastern European ', 'German Russian ', 'Soviet Union ', 'Swiss ', 'Pennsylvania German ', 'New Zealander ', 'Russian ']","['', 'Nigerian ', 'Dutch West Indian ', 'Palestinian ', 'Ugandan ', 'British West Indian ', 'Iraqi ', 'Cape Verdean ', 'Liberian ', 'Other Subsaharan African ', 'Moroccan ', 'South African ', 'Haitian ', 'Sudanese ', 'Belizean ', 'Zimbabwean ', 'Lebanese ', 'Arab ', 'Jamaican ', 'Jordanian ', 'Ethiopian ', 'Sierra Leonean ', 'Syrian ', 'U.S. Virgin Islander ', 'Ghanaian ', 'Barbadian ', 'Other Arab ', 'Somali ', 'African ', 'Bermudan ', 'West Indian ', 'Egyptian ', 'Trinidadian and Tobagonian ', 'Kenyan ', 'Bahamian ', 'Other West Indian ', 'Senegalese ']",,,,,
B04006,PEOPLE REPORTING ANCESTRY,,,,,,,,
B04006,dimensions,,Ancestry,Ancestry,,,,,
B04006,values,['Total:'],"['Norwegian ', 'Celtic ', 'Canadian ', 'Lithuanian ', 'Polish ', 'Alsatian ', 'Cypriot ', 'Dutch ', 'Serbian ', 'Danish ', 'Cajun ', 'Scottish ', 'French Canadian ', 'Icelander ', 'Macedonian ', 'Australian ', 'Luxemburger ', 'Italian ', 'Czech ', 'Arab:', 'Scandinavian ', 'West Indian (except Hispanic groups):', 'American ', 'Turkish ', 'Portuguese ', 'Finnish ', 'European ', 'British ', 'Basque ', 'Czechoslovakian ', 'French (except Basque) ', 'Austrian ', 'Romanian ', 'Ukrainian ', 'Unclassified or not reported ', 'Slavic ', 'Swedish ', 'Scotch-Irish ', 'Carpatho Rusyn ', 'Estonian ', 'Afghan ', 'Irish ', 'Maltese ', 'Yugoslavian ', 'Israeli ', 'English ', 'Greek ', 'Latvian ', 'Northern European ', 'Armenian ', 'Belgian ', 'Welsh ', 'Subsaharan African:', 'Slovene ', 'Assyrian/Chaldean/Syriac ', 'Hungarian ', 'Iranian ', 'Guyanese ', 'Bulgarian ', 'Croatian ', 'German ', 'Albanian ', 'Brazilian ', 'Slovak ', 'Other groups ', 'Eastern European ', 'German Russian ', 'Soviet Union ', 'Swiss ', 'Pennsylvania German ', 'New Zealander ', 'Russian ']","['', 'Nigerian ', 'Dutch West Indian ', 'Palestinian ', 'Ugandan ', 'British West Indian ', 'Iraqi ', 'Cape Verdean ', 'Liberian ', 'Other Subsaharan African ', 'Moroccan ', 'South African ', 'Haitian ', 'Sudanese ', 'Belizean ', 'Zimbabwean ', 'Lebanese ', 'Arab ', 'Jamaican ', 'Jordanian ', 'Ethiopian ', 'Sierra Leonean ', 'Syrian ', 'U.S. Virgin Islander ', 'Ghanaian ', 'Barbadian ', 'Other Arab ', 'Somali ', 'African ', 'Bermudan ', 'West Indian ', 'Egyptian ', 'Trinidadian and Tobagonian ', 'Kenyan ', 'Bahamian ', 'Other West Indian ', 'Senegalese ']",,,,,
B04007,ANCESTRY,,,,,,,,
B04007,dimensions,,Ancestry,Ancestry,,,,,
B04007,values,['Total:'],"['Ancestry not specified:', 'Ancestry specified:']","['Single ancestry', '', 'Ancestry not reported', 'Multiple ancestry', 'Ancestry unclassified']",,,,,
B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,,,,,,,,
B05001,dimensions,,Nativity:US Citizenship,,,,,,
B05001,values,['Total:'],"['U.S. citizen by naturalization', 'U.S. citizen, born abroad of American parent(s)', 'Not a U.S. citizen', 'U.S. citizen, born in Puerto Rico or U.S. Island Areas', 'U.S. citizen, born in the United States']",,,,,,
B05001PR,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,,,,,,,,
B05001PR,dimensions,,Nativity:US Citizenship,,,,,,
B05001PR,values,['Total:'],"['U.S. citizen by naturalization', 'U.S. citizen, born abroad of American parent(s)', 'U.S. citizen, born in Puerto Rico', 'Not a U.S. citizen', 'U.S. citizen, born in U.S. or U.S. Island Areas']",,,,,,
B05002,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,,,,,,,,
B05002,dimensions,,Nativity,Nativity:US Citizenship,Nativity,,,,
B05002,values,['Total:'],"['Foreign born:', 'Native:']","['', 'Born in state of residence', 'Born in other state in the United States:', 'Born outside the United States:', 'Naturalized U.S. citizen', 'Not a U.S. citizen']","['', 'Europe', 'Northeast', 'West', 'Northern America', 'Africa', 'Asia', 'Oceania', 'Born abroad of American parent(s)', 'Puerto Rico', 'U.S. Island Areas', 'Midwest', 'South', 'Latin America']",,,,
B05003,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,,,,,,,,
B05003,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003A,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003A,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003A,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003B,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003B,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003B,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003C,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003C,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003C,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003D,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003D,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003D,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003E,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003E,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003F,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003F,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003F,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003G,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003G,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003G,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003H,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003H,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003H,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05003I,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS ,,,,,,,,
B05003I,dimensions,,Sex,Age,Nativity,US Citizenship,,,
B05003I,values,['Total:'],"['Male:', 'Female:']","['18 years and over:', '', 'Under 18 years:']","['Foreign born:', '', 'Native ']","['', 'Naturalized U.S. citizen ', 'Not a U.S. citizen ']",,,
B05004,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,,,,,,,,
B05004,dimensions,,Nativity,US Citizenship,Sex,,,,
B05004,values,['Total:'],"['Foreign born:', 'Native:']","['', 'Naturalized U.S. citizen:', 'Not a U.S. citizen:']","['', 'Male', 'Female']",,,,
B05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,,,,,,,,
B05005,dimensions,,Immigration Year,Nativity,US Citizenship,,,,
B05005,values,['Total:'],"['Entered before 1990:', 'Entered 1990 to 1999:', 'Entered 2010 or later', 'Entered 2000 to 2009']","['Foreign born:', '', 'Native']","['', 'Naturalized U.S. citizen', 'Not a U.S. citizen']",,,,
B05005PR,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,,,,,,,,
B05005PR,dimensions,,Immigration Year,Nativity,US Citizenship,,,,
B05005PR,values,['Total:'],"['Entered before 1990:', 'Entered 1990 to 1999:', 'Entered 2010 or later', 'Entered 2000 to 2009']","['Foreign born:', '', 'Native']","['', 'Naturalized U.S. citizen', 'Not a U.S. citizen']",,,,
B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,,,,,,,,
B05006,dimensions,,Place of Birth,Place of Birth,Place of Birth,Place of Birth,,,
