q_id,Category,Universe,Question Name
B05008,Foreign Birth,foreign-born population,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION
B05009,Foreign Birth,universe: own children under 18 years living in families or subfamilies,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS
B05010,Foreign Birth,universe: own children under 18 years living in families or subfamilies for whom poverty status is determined,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS
B05011,Foreign Birth,universe: foreign-born population,PERIOD OF NATURALIZATION
B05012,Foreign Birth,total population in the united states,NATIVITY IN THE UNITED STATES
B05012PR,Foreign Birth,total population in puerto rico,NATIVITY IN PUERTO RICO
B05013,Foreign Birth,universe: foreign-born population,SEX BY AGE FOR THE FOREIGN-BORN POPULATION
B05014,Foreign Birth,universe: foreign-born population,SEX BY AGE FOR THE FOREIGN-BORN POPULATION
B06001,Place of Birth - Native,total population in the united states,PLACE OF BIRTH BY AGE IN THE UNITED STATES
B06001PR,Place of Birth - Native,total population in puerto rico,PLACE OF BIRTH BY AGE IN PUERTO RICO
B06002,Place of Birth - Native,total population in the united states,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES
B06002PR,Place of Birth - Native,total population in puerto rico,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO
B06003,Place of Birth - Native,total population in the united states,PLACE OF BIRTH BY SEX IN THE UNITED STATES
B06003PR,Place of Birth - Native,total population in puerto rico,PLACE OF BIRTH BY SEX IN PUERTO RICO
B06004A,Place of Birth - Native,white alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004APR,Place of Birth - Native,white alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004B,Place of Birth - Native,black or african american alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004BPR,Place of Birth - Native,black or african american alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004C,Place of Birth - Native,american indian and alaska native alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004CPR,Place of Birth - Native,american indian and alaska native alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004D,Place of Birth - Native,asian alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004DPR,Place of Birth - Native,asian alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004E,Place of Birth - Native,native hawaiian and other pacific islander alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004EPR,Place of Birth - Native,native hawaiian and other pacific islander alone population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004F,Place of Birth - Native,some other race alone population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004FPR,Place of Birth - Native,some other race population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004G,Place of Birth - Native,two or more races population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004GPR,Place of Birth - Native,two or more races population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06004H,Place of Birth - Native,"white alone, not hispanic or latino population in the united states",PLACE OF BIRTH  IN THE UNITED STATES
B06004HPR,Place of Birth - Native,"white alone, not hispanic or latino population in puerto rico",PLACE OF BIRTH  IN PUERTO RICO
B06004I,Place of Birth - Native,hispanic or latino population in the united states,PLACE OF BIRTH  IN THE UNITED STATES
B06004IPR,Place of Birth - Native,hispanic or latino population in puerto rico,PLACE OF BIRTH  IN PUERTO RICO
B06007,Place of Birth - Native,population 5 years and over in the united states,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES
B06007PR,Place of Birth - Native,population 5 years and over in puerto rico,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO
B06008,Place of Birth - Native,population 15 years and over in the united states,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES
B06008PR,Place of Birth - Native,population 15 years and over in puerto rico,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO
B06009,Place of Birth - Native,population 25 years and over in the united states,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES
B06009PR,Place of Birth - Native,population 25 years and over in puerto rico,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO
B06010,Place of Birth - Native,population 15 years and over in the united states,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  IN THE UNITED STATES
B06010PR,Place of Birth - Native,population 15 years and over in puerto rico,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  IN PUERTO RICO
B06011,Place of Birth - Native,population 15 years and over in the united states with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY PLACE OF BIRTH IN THE UNITED STATES
B06011PR,Place of Birth - Native,population 15 years and over in puerto rico with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY PLACE OF BIRTH IN PUERTO RICO
B06012,Place of Birth - Native,population in the united states for whom poverty status is determined,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES
B06012PR,Place of Birth - Native,population in puerto rico for whom poverty status is determined,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO
B07001,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
B07001PR,Residence Last Year - Migration,population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO
B07002,Residence Last Year - Migration,population 1 year and over in the united states,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
B07002PR,Residence Last Year - Migration,population 1 year and over in puerto rico,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO
B07003,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES
B07003PR,Residence Last Year - Migration,population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO
B07004A,Residence Last Year - Migration,white alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004APR,Residence Last Year - Migration,white alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004B,Residence Last Year - Migration,black or african american alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004BPR,Residence Last Year - Migration,black or african american alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004C,Residence Last Year - Migration,american indian and alaskan native alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004CPR,Residence Last Year - Migration,american indian and alaskan native alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004D,Residence Last Year - Migration,asian alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004DPR,Residence Last Year - Migration,asian alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004E,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004EPR,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004F,Residence Last Year - Migration,some other race alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004FPR,Residence Last Year - Migration,some other race alone population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004G,Residence Last Year - Migration,two or more races population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004GPR,Residence Last Year - Migration,two or more races population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004H,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in the united states",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004HPR,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in puerto rico",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07004I,Residence Last Year - Migration,hispanic or latino population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07004IPR,Residence Last Year - Migration,hispanic or latino population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR CURRENT RESIDENCE IN PUERTO RICO
B07007,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES
B07007PR,Residence Last Year - Migration,population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO
B07008,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES
B07008PR,Residence Last Year - Migration,population 15 years and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO
B07009,Residence Last Year - Migration,population 25 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES
B07009PR,Residence Last Year - Migration,population 25 years and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO
B07010,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR CURRENT RESIDENCE IN THE UNITED STATES
B07010PR,Residence Last Year - Migration,population 15 years and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR CURRENT RESIDENCE IN PUERTO RICO
B07011,Residence Last Year - Migration,population 15 years and over in the united states with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
B07011PR,Residence Last Year - Migration,population 15 years and over in puerto rico with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO
B07012,Residence Last Year - Migration,population 1 year and over in the united states for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES
B07012PR,Residence Last Year - Migration,population 1 year and over in puerto rico for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO
B07013,Residence Last Year - Migration,population 1 year and over in households in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES
B07013PR,Residence Last Year - Migration,population 1 year and over in households in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN PUERTO RICO
B07101,Residence Last Year - Migration,population 1 year and over in the united states,MOVERS BETWEEN REGIONS IN THE UNITED STATES
B07201,Residence Last Year - Migration,population 1 year and over living in a metropolitan statistical area in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES
B07201PR,Residence Last Year - Migration,population 1 year and over living in a metropolitan statistical area in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO
B07202,Residence Last Year - Migration,population 1 year and over living in a micropolitan statistical area in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES
B07202PR,Residence Last Year - Migration,population 1 year and over living in a micropolitan statistical area in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO
B07203,Residence Last Year - Migration,population 1 year and over not living in a metropolitan or micropolitan statistical area in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES
B07203PR,Residence Last Year - Migration,population 1 year and over not living in a metropolitan or micropolitan statistical area in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO
B07204,Residence Last Year - Migration,population 1 year and over in the united states,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES"
B07204PR,Residence Last Year - Migration,population 1 year and over in puerto rico,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN PUERTO RICO"
B07401,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07401PR,Residence Last Year - Migration,population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07402,Residence Last Year - Migration,population 1 year and over in the united states,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07402PR,Residence Last Year - Migration,population 1 year and over,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07403,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07403PR,Residence Last Year - Migration,population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404A,Residence Last Year - Migration,white alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404B,Residence Last Year - Migration,black or african american alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404C,Residence Last Year - Migration,american indian and alaskan native alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404D,Residence Last Year - Migration,asian alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404E,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404F,Residence Last Year - Migration,some other race alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404G,Residence Last Year - Migration,two or more races population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404H,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in the united states",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404I,Residence Last Year - Migration,hispanic or latino population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07404APR,Residence Last Year - Migration,white alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404BPR,Residence Last Year - Migration,black or african american alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404CPR,Residence Last Year - Migration,american indian and alaska native alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404DPR,Residence Last Year - Migration,asian alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404EPR,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404FPR,Residence Last Year - Migration,some other race alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404GPR,Residence Last Year - Migration,two or more races population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404HPR,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07404IPR,Residence Last Year - Migration,hispanic or latino population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07407,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07407PR,Residence Last Year - Migration,population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07408,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07408PR,Residence Last Year - Migration,population 15 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07409,Residence Last Year - Migration,population 25 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07409PR,Residence Last Year - Migration,population 25 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07410,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07410PR,Residence Last Year - Migration,population 15 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07411,Residence Last Year - Migration,population 15 years and over in the united states with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
